type,size,ocall,noenc,fullenc,baseline,
read,4,8082.000000,6406.000000,6717.000000,437.000000,
read,4,8103.000000,6623.000000,6515.000000,449.000000,
read,4,8071.000000,6429.000000,6626.000000,458.000000,
read,4,8096.000000,6651.000000,6484.000000,462.000000,
read,4,8123.000000,6755.000000,6640.000000,436.000000,
read,4,8093.000000,6696.000000,6646.000000,463.000000,
read,4,8062.000000,6349.000000,6638.000000,429.000000,
read,4,8051.000000,6432.000000,6512.000000,456.000000,
read,4,8073.000000,6361.000000,7106.000000,450.000000,
read,4,8196.000000,6704.000000,6663.000000,436.000000,
read,4,8081.000000,6745.000000,6727.000000,444.000000,
read,4,8271.000000,6969.000000,7328.000000,431.000000,
read,4,8096.000000,6880.000000,6596.000000,446.000000,
read,4,8093.000000,6337.000000,6563.000000,452.000000,
read,4,8102.000000,6504.000000,6929.000000,513.000000,
read,4,8126.000000,6688.000000,6838.000000,438.000000,
read,4,8112.000000,6560.000000,6543.000000,439.000000,
read,4,8090.000000,6358.000000,6793.000000,443.000000,
read,4,8075.000000,6323.000000,6827.000000,428.000000,
read,4,8057.000000,6393.000000,6516.000000,463.000000,
read,4,8096.000000,6352.000000,6648.000000,461.000000,
read,4,8092.000000,6640.000000,6584.000000,427.000000,
read,4,8065.000000,6412.000000,7105.000000,425.000000,
read,4,8075.000000,6472.000000,6643.000000,421.000000,
read,4,8099.000000,6515.000000,6570.000000,455.000000,
read,4,8080.000000,6231.000000,6521.000000,453.000000,
read,4,8066.000000,6332.000000,6530.000000,421.000000,
read,4,8063.000000,6402.000000,6679.000000,453.000000,
read,4,8075.000000,6394.000000,6784.000000,443.000000,
read,4,8082.000000,6413.000000,6702.000000,427.000000,
read,4,8095.000000,6429.000000,7070.000000,456.000000,
read,4,8078.000000,6697.000000,6656.000000,475.000000,
read,4,8086.000000,6633.000000,6709.000000,417.000000,
read,4,8078.000000,6374.000000,6514.000000,445.000000,
read,4,8064.000000,6350.000000,6669.000000,451.000000,
read,4,8111.000000,6298.000000,6688.000000,467.000000,
read,4,8108.000000,6679.000000,7522.000000,487.000000,
read,4,8059.000000,6383.000000,6768.000000,420.000000,
read,4,8070.000000,6491.000000,6476.000000,475.000000,
read,4,8056.000000,6244.000000,6671.000000,453.000000,
read,4,8096.000000,6574.000000,6659.000000,465.000000,
read,4,8064.000000,6453.000000,6543.000000,465.000000,
read,4,8096.000000,6755.000000,6623.000000,435.000000,
read,4,8094.000000,6522.000000,6768.000000,448.000000,
read,4,8091.000000,6781.000000,6686.000000,433.000000,
read,4,8056.000000,6786.000000,6559.000000,462.000000,
read,4,8042.000000,6567.000000,6798.000000,458.000000,
read,4,8045.000000,6490.000000,6880.000000,437.000000,
read,4,8097.000000,6279.000000,6484.000000,467.000000,
read,4,8079.000000,6446.000000,6912.000000,431.000000,
read,4,8059.000000,6375.000000,7309.000000,468.000000,
read,4,8070.000000,6372.000000,6708.000000,456.000000,
read,4,8083.000000,6274.000000,6658.000000,447.000000,
read,4,8051.000000,6419.000000,6631.000000,446.000000,
read,4,8070.000000,6357.000000,6677.000000,443.000000,
read,4,8065.000000,6380.000000,6509.000000,436.000000,
read,4,8087.000000,6388.000000,6523.000000,463.000000,
read,4,8046.000000,6332.000000,6517.000000,447.000000,
read,4,8082.000000,6739.000000,6728.000000,446.000000,
read,4,8060.000000,6499.000000,6581.000000,417.000000,
read,4,8069.000000,6407.000000,6590.000000,464.000000,
read,4,8077.000000,6550.000000,7224.000000,451.000000,
read,4,8058.000000,6585.000000,6746.000000,436.000000,
read,4,8093.000000,6972.000000,6690.000000,436.000000,
read,4,8076.000000,6427.000000,7225.000000,455.000000,
read,4,8059.000000,6615.000000,6498.000000,425.000000,
read,4,8066.000000,6434.000000,6638.000000,452.000000,
read,4,8110.000000,6534.000000,7148.000000,451.000000,
read,4,8278.000000,6668.000000,6820.000000,452.000000,
read,4,8064.000000,6376.000000,6518.000000,427.000000,
read,4,8090.000000,6630.000000,6688.000000,500.000000,
read,4,8076.000000,6883.000000,6809.000000,443.000000,
read,4,8074.000000,6383.000000,6636.000000,450.000000,
read,4,8049.000000,6390.000000,6524.000000,452.000000,
read,4,8099.000000,6431.000000,6651.000000,447.000000,
read,4,8097.000000,6674.000000,6638.000000,433.000000,
read,4,8084.000000,6518.000000,6475.000000,415.000000,
read,4,8068.000000,6368.000000,6632.000000,474.000000,
read,4,8081.000000,6301.000000,7167.000000,457.000000,
read,4,8080.000000,6721.000000,6562.000000,416.000000,
read,4,8070.000000,6585.000000,6646.000000,423.000000,
read,4,8063.000000,6756.000000,6489.000000,444.000000,
read,4,8096.000000,6467.000000,6653.000000,427.000000,
read,4,8087.000000,6775.000000,6517.000000,445.000000,
read,4,8062.000000,6399.000000,6654.000000,443.000000,
read,4,8127.000000,6491.000000,6781.000000,439.000000,
read,4,8071.000000,6335.000000,6668.000000,440.000000,
read,4,8061.000000,6592.000000,6565.000000,422.000000,
read,4,8043.000000,6776.000000,6482.000000,447.000000,
read,4,8053.000000,6512.000000,6677.000000,444.000000,
read,4,8076.000000,6375.000000,6643.000000,429.000000,
read,4,8081.000000,6487.000000,6584.000000,433.000000,
read,4,8047.000000,6448.000000,7726.000000,444.000000,
read,4,8031.000000,6332.000000,6641.000000,431.000000,
read,4,8068.000000,6499.000000,6464.000000,449.000000,
read,4,8087.000000,6310.000000,6598.000000,444.000000,
read,4,8046.000000,6577.000000,6481.000000,440.000000,
read,4,8073.000000,6416.000000,6657.000000,438.000000,
read,4,8078.000000,6473.000000,6550.000000,427.000000,
read,4,8095.000000,6412.000000,6634.000000,428.000000,
read,4,8066.000000,6462.000000,7098.000000,443.000000,
read,4,8072.000000,6613.000000,7007.000000,423.000000,
read,4,8074.000000,6540.000000,6717.000000,443.000000,
read,4,8046.000000,6464.000000,6679.000000,439.000000,
read,4,8037.000000,6637.000000,6587.000000,416.000000,
read,4,8077.000000,6824.000000,6622.000000,457.000000,
read,4,8109.000000,6399.000000,7168.000000,456.000000,
read,4,8096.000000,6484.000000,6499.000000,421.000000,
read,4,8052.000000,6591.000000,6504.000000,446.000000,
read,4,8075.000000,6651.000000,6704.000000,431.000000,
read,4,8091.000000,6259.000000,6619.000000,425.000000,
read,4,8076.000000,6581.000000,6491.000000,465.000000,
read,4,8053.000000,6646.000000,6721.000000,450.000000,
read,4,8072.000000,6317.000000,6670.000000,442.000000,
read,4,8081.000000,6339.000000,6640.000000,450.000000,
read,4,8082.000000,6424.000000,6599.000000,436.000000,
read,4,8056.000000,6357.000000,6518.000000,433.000000,
read,4,8086.000000,6559.000000,6642.000000,463.000000,
read,4,8078.000000,6236.000000,6644.000000,442.000000,
read,4,8061.000000,6288.000000,6538.000000,444.000000,
read,4,8040.000000,6349.000000,7174.000000,424.000000,
read,4,8082.000000,6799.000000,6475.000000,450.000000,
read,4,8141.000000,6795.000000,6693.000000,456.000000,
read,4,8071.000000,6399.000000,7159.000000,443.000000,
read,4,8079.000000,6554.000000,6491.000000,439.000000,
read,4,8085.000000,6492.000000,6665.000000,472.000000,
read,4,8068.000000,6536.000000,6508.000000,421.000000,
read,4,8082.000000,6496.000000,6607.000000,454.000000,
read,4,8066.000000,6660.000000,6637.000000,445.000000,
read,4,8073.000000,6261.000000,6524.000000,429.000000,
read,4,8105.000000,6579.000000,6744.000000,433.000000,
read,4,8092.000000,6621.000000,6749.000000,418.000000,
read,4,8099.000000,6622.000000,7062.000000,448.000000,
read,4,8091.000000,6542.000000,6553.000000,458.000000,
read,4,8074.000000,6571.000000,7219.000000,419.000000,
read,4,8074.000000,6549.000000,6546.000000,465.000000,
read,4,8069.000000,6370.000000,6720.000000,466.000000,
read,4,8065.000000,6498.000000,6545.000000,407.000000,
read,4,8100.000000,6446.000000,6518.000000,466.000000,
read,4,8074.000000,6425.000000,6579.000000,461.000000,
read,4,8077.000000,6825.000000,6804.000000,446.000000,
read,4,8091.000000,6741.000000,6520.000000,427.000000,
read,4,8060.000000,6605.000000,6522.000000,444.000000,
read,4,8038.000000,6175.000000,6678.000000,449.000000,
read,4,8052.000000,6901.000000,6716.000000,446.000000,
read,4,8100.000000,6786.000000,6629.000000,446.000000,
read,4,8081.000000,6743.000000,6903.000000,439.000000,
read,4,8054.000000,6636.000000,6686.000000,442.000000,
read,4,8065.000000,6616.000000,7132.000000,436.000000,
read,4,8099.000000,6632.000000,6689.000000,453.000000,
read,4,8068.000000,6564.000000,6762.000000,447.000000,
read,4,8050.000000,6421.000000,6521.000000,432.000000,
read,4,8094.000000,6593.000000,6817.000000,421.000000,
read,4,8074.000000,6448.000000,6451.000000,464.000000,
read,4,8057.000000,6738.000000,7215.000000,450.000000,
read,4,8039.000000,6731.000000,6623.000000,435.000000,
read,4,8060.000000,6603.000000,6681.000000,441.000000,
read,4,8074.000000,6582.000000,6721.000000,438.000000,
read,4,8059.000000,6647.000000,6533.000000,427.000000,
