type,size,ocall,noenc,fullenc,baseline,
read,4,22227.000000,12362.000000,22829.000000,636.000000,
read,4,22276.000000,12108.000000,22680.000000,573.000000,
read,4,22185.000000,12360.000000,22347.000000,617.000000,
read,4,22516.000000,12155.000000,22608.000000,605.000000,
read,4,22072.000000,12098.000000,22965.000000,651.000000,
read,4,22555.000000,11989.000000,23272.000000,636.000000,
read,4,22808.000000,12136.000000,22139.000000,692.000000,
read,4,22144.000000,12086.000000,22943.000000,570.000000,
read,4,21985.000000,12339.000000,22979.000000,606.000000,
read,4,21791.000000,12111.000000,22469.000000,587.000000,
read,4,22450.000000,12056.000000,50909.000000,583.000000,
read,4,22169.000000,12913.000000,28923.000000,572.000000,
read,4,22169.000000,12003.000000,22292.000000,638.000000,
read,4,49931.000000,12325.000000,22753.000000,575.000000,
read,4,22403.000000,12192.000000,22191.000000,597.000000,
read,4,22091.000000,12270.000000,22656.000000,609.000000,
read,4,22461.000000,12057.000000,22979.000000,649.000000,
read,4,23291.000000,12068.000000,22698.000000,598.000000,
read,4,23262.000000,12302.000000,22668.000000,719.000000,
read,4,36940.000000,12253.000000,22470.000000,569.000000,
read,4,39705.000000,12319.000000,22288.000000,666.000000,
read,4,23694.000000,12105.000000,22775.000000,693.000000,
read,4,23903.000000,12305.000000,22112.000000,614.000000,
read,4,22401.000000,12236.000000,23184.000000,570.000000,
read,4,21917.000000,12004.000000,22664.000000,640.000000,
read,4,22146.000000,12353.000000,22269.000000,643.000000,
read,4,22639.000000,12301.000000,22343.000000,626.000000,
read,4,22200.000000,12127.000000,22408.000000,613.000000,
read,4,22338.000000,12333.000000,22848.000000,696.000000,
read,4,22397.000000,12395.000000,22045.000000,640.000000,
read,4,22037.000000,12142.000000,23093.000000,621.000000,
read,4,22418.000000,12296.000000,22904.000000,588.000000,
read,4,22732.000000,12306.000000,22748.000000,643.000000,
read,4,22069.000000,12008.000000,22162.000000,596.000000,
read,4,22003.000000,12046.000000,22340.000000,614.000000,
read,4,22078.000000,12267.000000,22714.000000,568.000000,
read,4,22465.000000,12164.000000,22655.000000,708.000000,
read,4,22299.000000,12286.000000,22337.000000,616.000000,
read,4,22350.000000,12099.000000,22828.000000,594.000000,
read,4,22057.000000,12323.000000,23093.000000,621.000000,
read,4,21977.000000,12575.000000,22581.000000,624.000000,
read,4,22412.000000,11996.000000,22504.000000,598.000000,
read,4,22090.000000,12091.000000,22353.000000,621.000000,
read,4,22521.000000,12269.000000,22718.000000,574.000000,
read,4,22415.000000,12093.000000,22624.000000,684.000000,
read,4,22429.000000,12389.000000,22335.000000,641.000000,
read,4,22062.000000,12300.000000,22062.000000,615.000000,
read,4,22569.000000,12286.000000,23002.000000,564.000000,
read,4,22490.000000,12091.000000,22378.000000,639.000000,
read,4,22483.000000,12237.000000,22695.000000,592.000000,
read,4,21717.000000,12032.000000,22298.000000,638.000000,
read,4,21841.000000,12276.000000,22971.000000,578.000000,
read,4,22460.000000,12584.000000,22416.000000,660.000000,
read,4,22480.000000,12235.000000,22643.000000,640.000000,
read,4,22311.000000,11841.000000,22198.000000,627.000000,
read,4,22581.000000,12432.000000,22773.000000,571.000000,
read,4,21750.000000,12269.000000,22334.000000,632.000000,
read,4,21733.000000,12278.000000,22804.000000,635.000000,
read,4,22128.000000,12034.000000,21930.000000,639.000000,
read,4,21771.000000,12366.000000,22773.000000,646.000000,
